alpha,global_K1,cluster_block,cluster_per,cluster_per_outerG,meanshift
0.0,0.091354,6.2e-05,6.4e-05,0.179983,0.004432
0.1,0.07444,6.5e-05,6.7e-05,0.136496,0.004433
0.2,0.059807,6.9e-05,7.1e-05,0.100195,0.004438
0.3,0.047667,7e-05,7.1e-05,0.074315,0.004438
0.4,0.037703,7.4e-05,7.5e-05,0.058081,0.00444
0.5,0.025129,7.8e-05,7.8e-05,0.027305,0.004443
0.6,0.004498,8e-05,8.2e-05,0.016324,0.004444
0.7,0.000642,7.9e-05,8.1e-05,0.009826,0.004445
0.8,6.8e-05,7.6e-05,7.8e-05,0.005889,0.004445
0.9,6.7e-05,7.3e-05,7.5e-05,0.001712,0.004446
1.0,7e-05,7.6e-05,7.8e-05,8.1e-05,0.004448
